Año y Clase,Desaceleracion,0-40,40-80,80,Autopista
2002-6,0.029,0.275,0.373,0.385,0.197
2002-7,0.027,0.293,0.434,0.394,0.219
2002-8a,0.017,0.386,0.786,0.457,0.313
2002-8b,0.011,0.432,0.956,0.491,0.349
2003-2b,0.019,0.131,0.169,0.221,0.106
2003-3,0.024,0.242,0.325,0.327,0.171
2003-4,0.025,0.252,0.342,0.339,0.176
2003-5,0.025,0.252,0.342,0.339,0.176
2003-6,0.025,0.251,0.344,0.344,0.179
2003-7,0.024,0.268,0.405,0.354,0.201
2003-8a,0.015,0.354,0.729,0.415,0.287
2003-8b,0.01,0.393,0.872,0.445,0.317
2004-2b,0.02,0.134,0.172,0.225,0.107
2004-3,0.025,0.24,0.321,0.331,0.171
2004-4,0.025,0.249,0.336,0.341,0.176
2004-5,0.025,0.249,0.336,0.341,0.176
2004-6,0.025,0.249,0.339,0.345,0.178
2004-7,0.024,0.264,0.391,0.354,0.197
2004-8a,0.016,0.346,0.7,0.411,0.281
2004-8b,0.01,0.388,0.856,0.442,0.313
2005-2b,0.021,0.13,0.172,0.231,0.106
2005-3,0.024,0.24,0.324,0.323,0.171
2005-4,0.025,0.254,0.347,0.337,0.177
2005-5,0.025,0.254,0.347,0.337,0.177
2005-6,0.025,0.254,0.352,0.341,0.18
2005-7,0.024,0.272,0.414,0.353,0.203
2005-8a,0.014,0.355,0.732,0.415,0.287
2005-8b,0.01,0.391,0.866,0.444,0.316
2006-2b,0.022,0.138,0.183,0.247,0.112
2006-3,0.025,0.24,0.322,0.326,0.171
2006-4,0.025,0.253,0.345,0.339,0.177
2006-5,0.025,0.253,0.345,0.339,0.177
2006-6,0.025,0.253,0.349,0.342,0.18
2006-7,0.024,0.27,0.409,0.353,0.201
2006-8a,0.015,0.353,0.725,0.414,0.286
2006-8b,0.01,0.392,0.867,0.444,0.316
2007-2b,0.003,0.008,0.011,0.011,0.007
2007-3,0.001,0.011,0.012,0.01,0.007
2007-4,0.001,0.011,0.012,0.01,0.007
2007-5,0.001,0.011,0.012,0.01,0.007
2007-6,0.001,0.011,0.013,0.01,0.007
2007-7,0.001,0.012,0.016,0.011,0.008
